exact_literal	raw_column_a_value	resolved_human_decision	current_master_status	current_master_path	ascii_fold_key	final_action	note
unused duplicate duplicate unused.005		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused.005	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused duplicate duplicate unused.006		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused.006	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused duplicate duplicate unused.007		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused.007	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused duplicate duplicate unused.008		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused.008	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused duplicate duplicate unused.009		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused.009	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused duplicate duplicate unused.011		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused.011	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused l jacketa spo		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused l jacketa spo	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused l jacketb spo		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused l jacketb spo	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused r jacketa spo		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused r jacketa spo	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused r jacketb spo		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused r jacketb spo	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused.062		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused.062	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
ValveBiped.Bip01_Dinkie_Knot	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	valvebiped.bip01_dinkie_knot	MOVE_TO_SEXUAL_BONES	
ValveBiped.Bip01_Dinkie_Slit_B	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	valvebiped.bip01_dinkie_slit_b	MOVE_TO_SEXUAL_BONES	
ValveBiped.Bip01_Dinkie_Slit_F	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	valvebiped.bip01_dinkie_slit_f	MOVE_TO_SEXUAL_BONES	
ValveBiped.Bip01_Dinkie_Slit_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	valvebiped.bip01_dinkie_slit_l	MOVE_TO_SEXUAL_BONES	
ValveBiped.Bip01_Dinkie_Slit_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	valvebiped.bip01_dinkie_slit_r	MOVE_TO_SEXUAL_BONES	
ValveBiped.Bip01_NutGuard1		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	valvebiped.bip01_nutguard1	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
ValveBiped.Bip01_NutGuard2		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	valvebiped.bip01_nutguard2	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
ValveBiped.Bip01_NutGuard3		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	valvebiped.bip01_nutguard3	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
ス前先.L	INCLUDE	INCLUDE	NOT_IN_MASTER		ス前先.l	NOT_IN_MASTER_NO_ACTION	
ス横先.L	INCLUDE	INCLUDE	NOT_IN_MASTER		ス横先.l	NOT_IN_MASTER_NO_ACTION	
ス横先.R	INCLUDE	INCLUDE	NOT_IN_MASTER		ス横先.r	NOT_IN_MASTER_NO_ACTION	
ass	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	ass	MOVE_TO_SEXUAL_BONES	
ass bone_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	ass bone_l	MOVE_TO_SEXUAL_BONES	
ass bone_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	ass bone_r	MOVE_TO_SEXUAL_BONES	
Ass1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	ass1	MOVE_TO_SEXUAL_BONES	
Ass2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	ass2	MOVE_TO_SEXUAL_BONES	
Asshole_1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshole_1	MOVE_TO_SEXUAL_BONES	
Asshole_2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	asshole_2	MOVE_TO_SEXUAL_BONES	
Asshole_3	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	asshole_3	MOVE_TO_SEXUAL_BONES	
Asshole_4	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	asshole_4	MOVE_TO_SEXUAL_BONES	
Asshole_5	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshole_5	MOVE_TO_SEXUAL_BONES	
Asshole_6	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshole_6	MOVE_TO_SEXUAL_BONES	
Asshole_7	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	asshole_7	MOVE_TO_SEXUAL_BONES	
Asshole_8	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshole_8	MOVE_TO_SEXUAL_BONES	
b__CAS_L_Breast__	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	b__cas_l_breast__	MOVE_TO_SEXUAL_BONES	
Ball R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	ball r	MOVE_TO_SEXUAL_BONES	
ball_bn1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	ball_bn1	MOVE_TO_SEXUAL_BONES	
ball_bn2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	ball_bn2	MOVE_TO_SEXUAL_BONES	
balls base	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	balls base	MOVE_TO_SEXUAL_BONES	
Balls.Root	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	balls.root	MOVE_TO_SEXUAL_BONES	
Balls_01	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	balls_01	MOVE_TO_SEXUAL_BONES	
Balls_02	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	balls_02	MOVE_TO_SEXUAL_BONES	
Ballsack	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	ballsack	MOVE_TO_SEXUAL_BONES	
ballsL01	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	ballsl01	MOVE_TO_SEXUAL_BONES	
ballsR01	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	ballsr01	MOVE_TO_SEXUAL_BONES	
bip_AnusBottom	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_anusbottom	MOVE_TO_SEXUAL_BONES	
bip_AnusRoot_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_anusroot_l	MOVE_TO_SEXUAL_BONES	
bip_AnusRoot_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_anusroot_r	MOVE_TO_SEXUAL_BONES	
bip_AnusSide_0_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bip_anusside_0_l	MOVE_TO_SEXUAL_BONES	
bip_AnusSide_0_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_anusside_0_r	MOVE_TO_SEXUAL_BONES	
bip_Ass1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_ass1	MOVE_TO_SEXUAL_BONES	
bip_Ass1_l	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_ass1_l	MOVE_TO_SEXUAL_BONES	
bip_ass1_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_ass1_l	MOVE_TO_SEXUAL_BONES	
bip_Ass1_r	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_ass1_r	MOVE_TO_SEXUAL_BONES	
bip_ass1_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_ass1_r	MOVE_TO_SEXUAL_BONES	
bip_Ass2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_ass2	MOVE_TO_SEXUAL_BONES	
bip_Balls1_l	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_balls1_l	MOVE_TO_SEXUAL_BONES	
bip_Balls1_r	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_balls1_r	MOVE_TO_SEXUAL_BONES	
Bip_Balls_2_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_balls_2_l	MOVE_TO_SEXUAL_BONES	
Bip_Balls_2_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_balls_2_r	MOVE_TO_SEXUAL_BONES	
bip_breast_nipple_l	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_breast_nipple_l	MOVE_TO_SEXUAL_BONES	
bip_breast_nipple_r	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_breast_nipple_r	MOVE_TO_SEXUAL_BONES	
Bip_BreastHelper_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_breasthelper_r	MOVE_TO_SEXUAL_BONES	
bip_breat_04_l	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_breat_04_l	MOVE_TO_SEXUAL_BONES	
bip_breat_04_r	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bip_breat_04_r	MOVE_TO_SEXUAL_BONES	
bip_Butt_01_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_butt_01_l	MOVE_TO_SEXUAL_BONES	
bip_Butt_01_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_butt_01_r	MOVE_TO_SEXUAL_BONES	
bip_GenitalsMainControllerBone	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_genitalsmaincontrollerbone	MOVE_TO_SEXUAL_BONES	
bip_Penis	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_penis	MOVE_TO_SEXUAL_BONES	
bip_penis-0	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_penis-0	MOVE_TO_SEXUAL_BONES	
bip_penis-1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_penis-1	MOVE_TO_SEXUAL_BONES	
bip_penis-2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_penis-2	MOVE_TO_SEXUAL_BONES	
bip_penis-ball-0.L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_penis-ball-0.l	MOVE_TO_SEXUAL_BONES	
bip_penis-ball-0.R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_penis-ball-0.r	MOVE_TO_SEXUAL_BONES	
bip_penis-ball-1.L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bip_penis-ball-1.l	MOVE_TO_SEXUAL_BONES	
bip_penis-ball-1.R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_penis-ball-1.r	MOVE_TO_SEXUAL_BONES	
bip_PussyBottom	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussybottom	MOVE_TO_SEXUAL_BONES	
bip_PussyLower_0_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussylower_0_l	MOVE_TO_SEXUAL_BONES	
bip_PussyLower_0_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bip_pussylower_0_r	MOVE_TO_SEXUAL_BONES	
bip_PussyLower_1_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussylower_1_l	MOVE_TO_SEXUAL_BONES	
bip_PussyLower_1_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bip_pussylower_1_r	MOVE_TO_SEXUAL_BONES	
bip_PussyRoot_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussyroot_l	MOVE_TO_SEXUAL_BONES	
bip_PussyRoot_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussyroot_r	MOVE_TO_SEXUAL_BONES	
bip_PussySide_0_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bip_pussyside_0_l	MOVE_TO_SEXUAL_BONES	
bip_PussySide_0_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bip_pussyside_0_r	MOVE_TO_SEXUAL_BONES	
bip_PussySide_1_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussyside_1_l	MOVE_TO_SEXUAL_BONES	
bip_PussySide_1_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussyside_1_r	MOVE_TO_SEXUAL_BONES	
bip_PussySide_2_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussyside_2_l	MOVE_TO_SEXUAL_BONES	
bip_PussySide_2_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bip_pussyside_2_r	MOVE_TO_SEXUAL_BONES	
bip_PussyTop	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bip_pussytop	MOVE_TO_SEXUAL_BONES	
bip_PussyUpper_0_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussyupper_0_l	MOVE_TO_SEXUAL_BONES	
bip_PussyUpper_0_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussyupper_0_r	MOVE_TO_SEXUAL_BONES	
bip_PussyUpper_1_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussyupper_1_l	MOVE_TO_SEXUAL_BONES	
bip_PussyUpper_1_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_pussyupper_1_r	MOVE_TO_SEXUAL_BONES	
Bip_VulvaB	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bip_vulvab	MOVE_TO_SEXUAL_BONES	
Bip_VulvaF	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	bip_vulvaf	MOVE_TO_SEXUAL_BONES	
boobs	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	boobs	MOVE_TO_SEXUAL_BONES	
boobsie1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	boobsie1	MOVE_TO_SEXUAL_BONES	
boobsie2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	boobsie2	MOVE_TO_SEXUAL_BONES	
boobsie21	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	boobsie21	MOVE_TO_SEXUAL_BONES	
boobsie22	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	boobsie22	MOVE_TO_SEXUAL_BONES	
boobsie23	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	boobsie23	MOVE_TO_SEXUAL_BONES	
boobsie24	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	boobsie24	MOVE_TO_SEXUAL_BONES	
boobsie3	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	boobsie3	MOVE_TO_SEXUAL_BONES	
boobsie4	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	boobsie4	MOVE_TO_SEXUAL_BONES	
boobsie5	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	boobsie5	MOVE_TO_SEXUAL_BONES	
Breast Left 0	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 0	MOVE_TO_SEXUAL_BONES	
breast left 0	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 0	MOVE_TO_SEXUAL_BONES	
Breast Left 0_jiggle	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 0_jiggle	MOVE_TO_SEXUAL_BONES	
Breast Left 0_jiggle_root	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 0_jiggle_root	MOVE_TO_SEXUAL_BONES	
breast left 135	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 135	MOVE_TO_SEXUAL_BONES	
breast left 180	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 180	MOVE_TO_SEXUAL_BONES	
Breast Left 1_jiggle	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 1_jiggle	MOVE_TO_SEXUAL_BONES	
breast left 225	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 225	MOVE_TO_SEXUAL_BONES	
breast left 270	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 270	MOVE_TO_SEXUAL_BONES	
breast left 315	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 315	MOVE_TO_SEXUAL_BONES	
breast left 45	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 45	MOVE_TO_SEXUAL_BONES	
breast left 90	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left 90	MOVE_TO_SEXUAL_BONES	
breast left adj. 1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj. 1	MOVE_TO_SEXUAL_BONES	
breast left adj. 2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj. 2	MOVE_TO_SEXUAL_BONES	
breast left adj. 3	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj. 3	MOVE_TO_SEXUAL_BONES	
breast left adj. 4	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj. 4	MOVE_TO_SEXUAL_BONES	
breast left adj. 5	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj. 5	MOVE_TO_SEXUAL_BONES	
breast left adj. 6	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj. 6	MOVE_TO_SEXUAL_BONES	
breast left adj. 7	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj. 7	MOVE_TO_SEXUAL_BONES	
breast left adj. 8	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj. 8	MOVE_TO_SEXUAL_BONES	
breast left adj.1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj.1	MOVE_TO_SEXUAL_BONES	
breast left adj.2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj.2	MOVE_TO_SEXUAL_BONES	
breast left adj.3	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj.3	MOVE_TO_SEXUAL_BONES	
breast left adj.4	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj.4	MOVE_TO_SEXUAL_BONES	
breast left adj.5	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left adj.5	MOVE_TO_SEXUAL_BONES	
breast left ctrl	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left ctrl	MOVE_TO_SEXUAL_BONES	
breast left nip	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast left nip	MOVE_TO_SEXUAL_BONES	
breast nipple left	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast nipple left	MOVE_TO_SEXUAL_BONES	
breast nipple right	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast nipple right	MOVE_TO_SEXUAL_BONES	
Breast Right 0	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 0	MOVE_TO_SEXUAL_BONES	
breast right 0	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 0	MOVE_TO_SEXUAL_BONES	
Breast Right 0_jiggle	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 0_jiggle	MOVE_TO_SEXUAL_BONES	
Breast Right 0_jiggle_root	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 0_jiggle_root	MOVE_TO_SEXUAL_BONES	
breast right 135	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 135	MOVE_TO_SEXUAL_BONES	
breast right 180	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 180	MOVE_TO_SEXUAL_BONES	
Breast Right 1_jiggle	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 1_jiggle	MOVE_TO_SEXUAL_BONES	
breast right 225	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 225	MOVE_TO_SEXUAL_BONES	
breast right 270	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 270	MOVE_TO_SEXUAL_BONES	
breast right 315	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 315	MOVE_TO_SEXUAL_BONES	
breast right 45	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 45	MOVE_TO_SEXUAL_BONES	
breast right 90	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right 90	MOVE_TO_SEXUAL_BONES	
breast right adj. 1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj. 1	MOVE_TO_SEXUAL_BONES	
breast right adj. 2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj. 2	MOVE_TO_SEXUAL_BONES	
breast right adj. 3	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj. 3	MOVE_TO_SEXUAL_BONES	
breast right adj. 4	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj. 4	MOVE_TO_SEXUAL_BONES	
breast right adj. 5	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj. 5	MOVE_TO_SEXUAL_BONES	
breast right adj. 6	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj. 6	MOVE_TO_SEXUAL_BONES	
breast right adj. 7	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj. 7	MOVE_TO_SEXUAL_BONES	
breast right adj. 8	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj. 8	MOVE_TO_SEXUAL_BONES	
breast right adj.1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj.1	MOVE_TO_SEXUAL_BONES	
breast right adj.2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj.2	MOVE_TO_SEXUAL_BONES	
breast right adj.3	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj.3	MOVE_TO_SEXUAL_BONES	
breast right adj.4	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj.4	MOVE_TO_SEXUAL_BONES	
breast right adj.5	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right adj.5	MOVE_TO_SEXUAL_BONES	
breast right base 	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right base 	MOVE_TO_SEXUAL_BONES	
breast right ctrl	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right ctrl	MOVE_TO_SEXUAL_BONES	
breast right nip	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast right nip	MOVE_TO_SEXUAL_BONES	
breast.0.L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	breast.0.l	MOVE_TO_SEXUAL_BONES	
breast.0.R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	breast.0.r	MOVE_TO_SEXUAL_BONES	
breast.LJiggleControl	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	breast.ljigglecontrol	MOVE_TO_SEXUAL_BONES	
breast.Nipple.L.Outer	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	breast.nipple.l.outer	MOVE_TO_SEXUAL_BONES	
breast.Nipple.R.Outer	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	breast.nipple.r.outer	MOVE_TO_SEXUAL_BONES	
breast.RJiggleControl	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast.rjigglecontrol	MOVE_TO_SEXUAL_BONES	
breast_3_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast_3_l	MOVE_TO_SEXUAL_BONES	
breast_3_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast_3_r	MOVE_TO_SEXUAL_BONES	
breast_4_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast_4_l	MOVE_TO_SEXUAL_BONES	
breast_4_R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	breast_4_r	MOVE_TO_SEXUAL_BONES	
